VEL,D20140322,X,Y,LON,LAT,Downslope ,Local Upsl,Upslope Cu,Local Curv,Minimal Cu,Cross-Sect,Tangential,Plan Curva,Flow Line ,Aspect,General Cu,Total Curv,Slope,Maximal Cu,Longitudin,Profile Cu,Local Down,cat,twi,TRI,tpi,spi,dem_randaz,curvature,ELEVATION,COHERENCE
0.7,-5.9,497060.7057,4193354.688,14.96657274,37.88769045,-0.11659,0.14852,0.10784,-0.03114,-0.00113,0.00015,0.00008,0.00031,-0.00001,6.25368,-0.00168,0,0.24734,0.00029,-0.00182,-0.00084,-0.20733,66.41514,11.04154,6.36923,-1.08403,-29.6046,664.117,-0.00168,705.7,0.64
0.8,-2.7,497088.171,4193359.669,14.96688507,37.88773543,-0.11317,-0.04447,-0.00566,-0.1388,-0.00523,0.00024,0.00043,0.00286,0.00007,0.09708,-0.00586,0.00003,0.1508,0.0023,-0.0061,-0.00325,-0.14848,66.17333,11.03789,3.98358,-2.31915,-35.13873,661.619,-0.00586,711.9,0.73
1.4,-5,497014.8834,4193348.459,14.96605165,37.88763416,-0.1011,-0.03621,-0.03424,-0.05442,-0.00202,-0.00174,-0.00087,-0.00534,-0.00004,0.00573,-0.00225,0,0.16287,0.0009,-0.00051,-0.00024,-0.11661,66.33038,4.17322,4.09732,-2.81798,63.68393,663.274,-0.00225,706.8,0.73
0.7,-4.8,497060.5438,4193356.758,14.96657089,37.88770911,-0.11659,0.14852,0.10784,-0.03114,-0.00113,0.00015,0.00008,0.00031,-0.00001,6.25368,-0.00168,0,0.24734,0.00029,-0.00182,-0.00084,-0.20733,66.41514,11.04154,6.36923,-1.08403,-29.6046,664.117,-0.00168,705.8,0.69
1.7,-0.2,497088.6897,4193361.861,14.96689096,37.88775519,-0.11317,-0.04447,-0.00566,-0.1388,-0.00523,0.00024,0.00043,0.00286,0.00007,0.09708,-0.00586,0.00003,0.1508,0.0023,-0.0061,-0.00325,-0.14848,66.17333,11.03789,3.98358,-2.31915,-35.13873,661.619,-0.00586,712.5,0.68
1,-2.5,497106.4537,4193365.087,14.96709297,37.88778433,-0.08004,-0.12984,-0.05375,-0.09507,-0.0025,-0.00268,-0.0017,-0.01791,0.00001,6.03769,-0.00366,0.00001,0.09533,0.00068,-0.00098,-0.00011,-0.0828,66.17389,4.53875,2.40077,-1.95884,43.97774,661.698,-0.00366,713.5,0.69
0.8,-5.3,496991.9001,4193346.379,14.96579028,37.88761534,-0.05039,-0.01856,-0.03433,-0.01522,-0.00133,-0.00067,-0.00044,-0.00316,-0.00002,0.0891,-0.00063,0,0.1387,0.00102,0.00005,0.00012,-0.01937,66.50208,1.30639,3.46231,-2.34448,1125.44507,665.009,-0.00063,708.2,0.78
0.9,0.2,496995.7403,4193347.077,14.96583395,37.88762164,-0.07028,-0.0328,-0.03846,-0.03843,-0.00186,-0.00158,-0.0008,-0.00532,-0.00003,0.01557,-0.00165,0,0.15147,0.00104,-0.00007,-0.00001,-0.03875,66.492,11.0427,3.75058,-2.29189,-28.02935,664.888,-0.00165,708,0.79
0.8,-3.1,497012.2012,4193350.069,14.96602114,37.88764866,-0.1011,-0.03621,-0.03424,-0.05442,-0.00202,-0.00174,-0.00087,-0.00534,-0.00004,0.00573,-0.00225,0,0.16287,0.0009,-0.00051,-0.00024,-0.11661,66.33038,4.17322,4.09732,-2.81798,63.68393,663.274,-0.00225,708.1,0.75
0.7,-4.9,497060.3493,4193358.822,14.96656867,37.88772771,-0.17204,-0.01174,-0.0065,-0.24126,-0.00537,-0.00139,-0.00068,-0.0035,-0.00001,6.26503,-0.01052,0.00002,0.19526,0.00011,-0.00912,-0.00431,-0.23786,66.17181,4.14941,5.26096,-2.82995,64.907,661.494,-0.01052,705.9,0.72
